Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,,,,,
2005-01-04,2005-Q1,,,,,
2005-01-05,2005-Q1,,,,,
2005-01-06,2005-Q1,,,,,
2005-01-07,2005-Q1,,,,,
2005-01-10,2005-Q1,,,,,
2005-01-11,2005-Q1,,,,,
2005-01-12,2005-Q1,,,,,
2005-01-13,2005-Q1,,,,,
2005-01-14,2005-Q1,,,,,
2005-01-17,2005-Q1,,,,,
2005-01-18,2005-Q1,,,,,
2005-01-19,2005-Q1,,,,,
2005-01-20,2005-Q1,,,,,
2005-01-21,2005-Q1,,,,,
2005-01-24,2005-Q1,,,,,
2005-01-25,2005-Q1,,,,,
2005-01-26,2005-Q1,,,,,
2005-01-27,2005-Q1,,,,,
2005-01-28,2005-Q1,,,,,
2005-01-31,2005-Q1,,,,,
2005-02-01,2005-Q1,,,,,
2005-02-02,2005-Q1,,,,,
2005-02-03,2005-Q1,,,,,
2005-02-04,2005-Q1,,,,,
2005-02-07,2005-Q1,,,,,
2005-02-08,2005-Q1,,,,,
2005-02-09,2005-Q1,,,,,
2005-02-10,2005-Q1,,,,,
2005-02-11,2005-Q1,,,,,
2005-02-14,2005-Q1,,,,,
2005-02-15,2005-Q1,,,,,
2005-02-16,2005-Q1,,,,,
2005-02-17,2005-Q1,,,,,
2005-02-18,2005-Q1,,,,,
2005-02-21,2005-Q1,,,,,
2005-02-22,2005-Q1,,,,,
2005-02-23,2005-Q1,,,,,
2005-02-24,2005-Q1,,,,,
2005-02-25,2005-Q1,,,,,
2005-02-28,2005-Q1,,,,,
2005-03-01,2005-Q1,,,,,
2005-03-02,2005-Q1,,,,,
2005-03-03,2005-Q1,,,,,
2005-03-04,2005-Q1,,,,,
2005-03-07,2005-Q1,,,,,
2005-03-08,2005-Q1,,,,,
2005-03-09,2005-Q1,,,,,
2005-03-10,2005-Q1,,,,,
2005-03-11,2005-Q1,,,,,
2005-03-14,2005-Q1,,,,,
2005-03-15,2005-Q1,,,,,
2005-03-16,2005-Q1,,,,,
2005-03-17,2005-Q1,,,,,
2005-03-18,2005-Q1,,,,,
2005-03-21,2005-Q1,,,,,
2005-03-22,2005-Q1,,,,,
2005-03-23,2005-Q1,,,,,
2005-03-24,2005-Q1,,,,,
2005-03-25,2005-Q1,,,,,
2005-03-28,2005-Q1,,,,,
2005-03-29,2005-Q1,,,,,
2005-03-30,2005-Q1,,,,,
2005-03-31,2005-Q1,,,,,
2005-04-01,2005-Q2,,,,,
2005-04-04,2005-Q2,35.65,21.87116564417178,,,
2005-04-05,2005-Q2,35.15,21.56441717791412,,,
2005-04-06,2005-Q2,35.0,21.47239263803681,,,
2005-04-07,2005-Q2,34.55,21.196319018404907,,,
2005-04-08,2005-Q2,33.65,20.644171779141104,,,
2005-04-11,2005-Q2,33.35,20.460122699386503,,,
2005-04-12,2005-Q2,33.15,20.33742331288344,,,
2005-04-13,2005-Q2,34.45,21.13496932515337,,,
2005-04-14,2005-Q2,34.45,21.13496932515337,,,
2005-04-15,2005-Q2,34.05,20.88957055214724,,,
2005-04-18,2005-Q2,34.2,20.98159509202454,,,
2005-04-19,2005-Q2,35.3,21.65644171779141,,,
2005-04-20,2005-Q2,35.4,21.717791411042946,,,
2005-04-21,2005-Q2,35.5,21.77914110429448,,,
2005-04-22,2005-Q2,35.1,21.533742331288344,,,
2005-04-25,2005-Q2,35.85,21.99386503067485,,,
2005-04-26,2005-Q2,35.25,21.625766871165645,,,
2005-04-27,2005-Q2,36.0,22.085889570552148,,,
2005-04-28,2005-Q2,35.75,21.932515337423315,,,
2005-04-29,2005-Q2,35.15,21.56441717791412,,,
2005-05-02,2005-Q2,35.7,21.90184049079755,,,
