Date,Quarter,Close,PE
2005-01-03,2005-Q1,710.65,150.88110403397027
2005-01-04,2005-Q1,720.3,152.92993630573247
2005-01-05,2005-Q1,716.2,152.05944798301488
2005-01-06,2005-Q1,736.35,156.3375796178344
2005-01-07,2005-Q1,754.4,160.16985138004245
2005-01-10,2005-Q1,747.95,158.80042462845012
2005-01-11,2005-Q1,731.3000000000001,155.26539278131634
2005-01-12,2005-Q1,712.3000000000001,151.23142250530785
2005-01-13,2005-Q1,723.9,153.69426751592357
2005-01-14,2005-Q1,720.2499999999999,152.91932059447984
2005-01-17,2005-Q1,689.9499999999999,146.48619957537156
2005-01-18,2005-Q1,671.0499999999998,142.47346072186835
2005-01-19,2005-Q1,684.3499999999999,145.29723991507433
2005-01-20,2005-Q1,688.0499999999998,146.08280254777068
2005-01-21,2005-Q1,688.0499999999998,146.08280254777068
2005-01-24,2005-Q1,675.6499999999997,143.45010615711251
2005-01-25,2005-Q1,660.9499999999998,140.3290870488323
2005-01-26,2005-Q1,660.9499999999998,140.3290870488323
2005-01-27,2005-Q1,664.3999999999997,141.0615711252654
2005-01-28,2005-Q1,669.2499999999998,142.0912951167728
2005-01-31,2005-Q1,674.1999999999999,143.14225053078556
2005-02-01,2005-Q1,671.5999999999999,142.59023354564758
2005-02-02,2005-Q1,673.3499999999999,142.96178343949046
2005-02-03,2005-Q1,694.8499999999998,147.52653927813165
2005-02-04,2005-Q1,691.2499999999999,146.76220806794055
2005-02-07,2005-Q1,687.4999999999999,145.9660297239915
2005-02-08,2005-Q1,681.5499999999998,144.70276008492567
2005-02-09,2005-Q1,680.9499999999999,144.57537154989384
2005-02-10,2005-Q1,682.4499999999999,144.89384288747348
2005-02-11,2005-Q1,689.8,146.45435244161357
2005-02-14,2005-Q1,681.35,144.66029723991508
2005-02-15,2005-Q1,688.5999999999999,146.1995753715499
2005-02-16,2005-Q1,679.8,144.3312101910828
2005-02-17,2005-Q1,679.2,144.20382165605096
2005-02-18,2005-Q1,667.05,141.62420382165604
2005-02-21,2005-Q1,657.6999999999999,139.63906581740977
2005-02-22,2005-Q1,658.0999999999999,139.723991507431
2005-02-23,2005-Q1,658.55,139.81953290870487
2005-02-24,2005-Q1,666.3,141.46496815286622
2005-02-25,2005-Q1,649.7500000000001,137.9511677282378
2005-02-28,2005-Q1,661.9,140.5307855626327
2005-03-01,2005-Q1,664.65,147.37250554323725
2005-03-02,2005-Q1,675.25,149.72283813747228
2005-03-03,2005-Q1,684.5,151.7738359201774
2005-03-04,2005-Q1,682.85,151.4079822616408
2005-03-07,2005-Q1,687.35,152.40576496674058
2005-03-08,2005-Q1,693.2,153.7028824833703
2005-03-09,2005-Q1,714.15,158.3481152993348
2005-03-10,2005-Q1,730.3,161.9290465631929
2005-03-11,2005-Q1,736.1499999999999,163.2261640798226
2005-03-14,2005-Q1,731.1499999999999,162.11751662971176
2005-03-15,2005-Q1,725.6499999999999,160.8980044345898
2005-03-16,2005-Q1,725.2499999999999,160.80931263858093
2005-03-17,2005-Q1,711.4999999999999,157.76053215077607
2005-03-18,2005-Q1,679.2,150.5986696230599
2005-03-21,2005-Q1,692.4499999999999,153.53658536585368
2005-03-22,2005-Q1,687.9999999999999,152.549889135255
2005-03-23,2005-Q1,684.0999999999999,151.68514412416852
2005-03-24,2005-Q1,680.8499999999999,150.96452328159646
2005-03-25,2005-Q1,680.8499999999999,150.96452328159646
2005-03-28,2005-Q1,674.9499999999999,149.65631929046566
2005-03-29,2005-Q1,665.1999999999999,147.49445676274945
2005-03-30,2005-Q1,694.6499999999999,154.02439024390245
2005-03-31,2005-Q1,716.3499999999998,158.8359201773836
2005-04-01,2005-Q2,713.9499999999998,158.30376940133038
2005-04-04,2005-Q2,711.9999999999998,157.87139689578714
2005-04-05,2005-Q2,701.1499999999997,155.46563192904657
2005-04-06,2005-Q2,706.1999999999998,156.58536585365854
2005-04-07,2005-Q2,700.6499999999997,155.35476718403547
2005-04-08,2005-Q2,694.0499999999997,153.89135254988912
2005-04-11,2005-Q2,690.1999999999998,153.0376940133038
2005-04-12,2005-Q2,693.4999999999999,153.76940133037695
2005-04-13,2005-Q2,689.4999999999999,152.88248337028824
2005-04-14,2005-Q2,689.4999999999999,152.88248337028824
2005-04-15,2005-Q2,700.9999999999999,155.43237250554324
2005-04-18,2005-Q2,695.5999999999998,154.23503325942352
2005-04-19,2005-Q2,696.9499999999998,154.53436807095346
2005-04-20,2005-Q2,686.4499999999999,152.20620842572063
2005-04-21,2005-Q2,686.9999999999998,152.32815964523283
2005-04-22,2005-Q2,700.3499999999999,155.28824833702885
2005-04-25,2005-Q2,711.8499999999998,157.83813747228382
2005-04-26,2005-Q2,712.7999999999997,158.04878048780486
2005-04-27,2005-Q2,693.9499999999998,153.86917960088692
