Date,Quarter,Close,PE
2005-01-03,2005-Q1,23.85,32.67123287671233
2005-01-04,2005-Q1,25.24,34.57534246575342
2005-01-05,2005-Q1,23.84,32.657534246575345
2005-01-06,2005-Q1,22.16,30.356164383561644
2005-01-07,2005-Q1,23.87,32.6986301369863
2005-01-10,2005-Q1,23.519999999999996,32.21917808219178
2005-01-11,2005-Q1,21.779999999999998,29.83561643835617
2005-01-12,2005-Q1,20.5,28.08219178082192
2005-01-13,2005-Q1,20.79,28.47945205479452
2005-01-14,2005-Q1,20.78,28.46575342465753
2005-01-17,2005-Q1,20.16,27.616438356164384
2005-01-18,2005-Q1,20.61,28.232876712328768
2005-01-19,2005-Q1,20.03,27.438356164383563
2005-01-20,2005-Q1,19.88,27.232876712328768
2005-01-21,2005-Q1,19.88,27.232876712328768
2005-01-24,2005-Q1,19.86,27.2054794520548
2005-01-25,2005-Q1,19.89,27.24657534246576
2005-01-26,2005-Q1,19.89,27.24657534246576
2005-01-27,2005-Q1,19.82,27.15068493150685
2005-01-28,2005-Q1,19.98,27.36986301369863
2005-01-31,2005-Q1,19.899999999999995,27.26027397260274
2005-02-01,2005-Q1,20.01,27.41095890410959
2005-02-02,2005-Q1,19.01,26.04109589041096
2005-02-03,2005-Q1,20.659999999999997,28.3013698630137
2005-02-04,2005-Q1,20.869999999999997,28.58904109589041
2005-02-07,2005-Q1,21.889999999999997,29.98630136986301
2005-02-08,2005-Q1,26.267999999999997,35.986301369863014
2005-02-09,2005-Q1,27.317920060905976,37.42465753424658
2005-02-10,2005-Q1,26.527980205557668,36.34246575342466
2005-02-11,2005-Q1,25.838032736962315,35.397260273972606
2005-02-14,2005-Q1,24.878105824133993,34.082191780821915
2005-02-15,2005-Q1,24.088165968785688,33.0
2005-02-16,2005-Q1,23.48821164826798,32.178082191780824
2005-02-17,2005-Q1,24.46813703844689,33.52054794520548
2005-02-18,2005-Q1,24.32814769699276,33.32876712328767
2005-02-21,2005-Q1,23.42821621621621,32.0958904109589
2005-02-22,2005-Q1,23.488211648267978,32.178082191780824
2005-02-23,2005-Q1,23.50821012561857,32.2054794520548
2005-02-24,2005-Q1,23.358221545489144,32.0
2005-02-25,2005-Q1,25.478060144651685,34.9041095890411
2005-02-28,2005-Q1,24.858107346783395,34.054794520547944
2005-03-01,2005-Q1,23.76819033117624,14.233532934131738
2005-03-02,2005-Q1,24.478136277122193,14.65868263473054
2005-03-03,2005-Q1,26.258000761324702,15.724550898203594
2005-03-04,2005-Q1,26.717965740388273,16.0
2005-03-07,2005-Q1,27.837880472021315,16.67065868263473
2005-03-08,2005-Q1,33.40545656642558,20.005988023952096
2005-03-09,2005-Q1,40.086547879710686,24.011976047904195
2005-03-10,2005-Q1,39.60670890259694,23.724550898203592
2005-03-11,2005-Q1,36.387789097792236,21.79640718562874
