Date,Quarter,Close,PE
2005-01-03,2005-Q1,158.2,112.19858156028369
2005-01-04,2005-Q1,158.9,112.69503546099293
2005-01-05,2005-Q1,153.9,109.14893617021278
2005-01-06,2005-Q1,147.85,104.8581560283688
2005-01-07,2005-Q1,150.14999999999998,106.48936170212768
2005-01-10,2005-Q1,150.55,106.77304964539007
2005-01-11,2005-Q1,147.04999999999998,104.29078014184398
2005-01-12,2005-Q1,147.45,104.57446808510636
2005-01-13,2005-Q1,148.7,105.4609929078014
2005-01-14,2005-Q1,148.1,105.0354609929078
2005-01-17,2005-Q1,145.8,103.40425531914894
2005-01-18,2005-Q1,145.1,102.90780141843972
2005-01-19,2005-Q1,143.6,101.84397163120568
2005-01-20,2005-Q1,142.25,100.88652482269504
2005-01-21,2005-Q1,142.25,100.88652482269504
2005-01-24,2005-Q1,144.15,102.2340425531915
2005-01-25,2005-Q1,137.95,97.83687943262412
2005-01-26,2005-Q1,137.95,97.83687943262412
2005-01-27,2005-Q1,138.15,97.97872340425532
2005-01-28,2005-Q1,137.8,97.73049645390071
2005-01-31,2005-Q1,140.3,99.5035460992908
2005-02-01,2005-Q1,140.99999999999997,100.0
2005-02-02,2005-Q1,143.1,101.48936170212768
2005-02-03,2005-Q1,144.35,102.3758865248227
2005-02-04,2005-Q1,151.85,107.69503546099293
2005-02-07,2005-Q1,151.7,107.5886524822695
2005-02-08,2005-Q1,149.15,105.78014184397163
2005-02-09,2005-Q1,150.15,106.48936170212768
2005-02-10,2005-Q1,151.5,107.4468085106383
2005-02-11,2005-Q1,151.25,107.2695035460993
2005-02-14,2005-Q1,155.34999999999997,110.177304964539
2005-02-15,2005-Q1,153.04999999999998,108.54609929078016
2005-02-16,2005-Q1,151.59999999999997,107.51773049645392
2005-02-17,2005-Q1,149.5,106.02836879432624
2005-02-18,2005-Q1,149.5,106.02836879432624
2005-02-21,2005-Q1,148.74999999999997,105.49645390070924
2005-02-22,2005-Q1,147.64999999999998,104.7163120567376
2005-02-23,2005-Q1,150.89999999999998,107.0212765957447
2005-02-24,2005-Q1,149.24999999999997,105.85106382978724
2005-02-25,2005-Q1,154.99999999999994,109.9290780141844
2005-02-28,2005-Q1,152.29999999999995,108.01418439716312
2005-03-01,2005-Q1,151.34999999999994,16.613611416026345
2005-03-02,2005-Q1,151.34999999999994,16.613611416026345
2005-03-03,2005-Q1,151.64999999999995,16.646542261251373
