Date,Quarter,Close,PE
2005-01-03,2005-Q1,25.57,14.04945054945055
2005-01-04,2005-Q1,25.2,13.846153846153843
2005-01-05,2005-Q1,24.049999999999997,13.214285714285714
2005-01-06,2005-Q1,23.08,12.68131868131868
2005-01-07,2005-Q1,23.33,12.818681318681318
2005-01-10,2005-Q1,23.24,12.769230769230768
2005-01-11,2005-Q1,22.78,12.516483516483516
2005-01-12,2005-Q1,21.350000000000005,11.730769230769232
2005-01-13,2005-Q1,22.060000000000002,12.12087912087912
2005-01-14,2005-Q1,21.650000000000002,11.895604395604394
2005-01-17,2005-Q1,20.850000000000005,11.456043956043956
2005-01-18,2005-Q1,21.02,11.54945054945055
2005-01-19,2005-Q1,21.480000000000004,11.802197802197805
2005-01-20,2005-Q1,20.880000000000003,11.47252747252747
2005-01-21,2005-Q1,20.880000000000003,11.47252747252747
2005-01-24,2005-Q1,20.580000000000002,11.307692307692308
2005-01-25,2005-Q1,21.540000000000003,11.835164835164834
2005-01-26,2005-Q1,21.540000000000003,11.835164835164834
2005-01-27,2005-Q1,22.36,12.285714285714285
2005-01-28,2005-Q1,23.33,12.818681318681318
2005-01-31,2005-Q1,23.179999999999996,12.736263736263735
2005-02-01,2005-Q1,22.709999999999997,12.478021978021978
2005-02-02,2005-Q1,20.619999999999997,11.32967032967033
2005-02-03,2005-Q1,20.869999999999997,11.467032967032967
2005-02-04,2005-Q1,20.45,11.236263736263735
2005-02-07,2005-Q1,20.76,11.406593406593409
2005-02-08,2005-Q1,20.9,11.483516483516482
2005-02-09,2005-Q1,21.25,11.675824175824175
2005-02-10,2005-Q1,21.02,11.54945054945055
2005-02-11,2005-Q1,21.33,11.71978021978022
2005-02-14,2005-Q1,22.159999999999997,12.175824175824175
2005-02-15,2005-Q1,21.419999999999998,11.76923076923077
2005-02-16,2005-Q1,21.399999999999995,11.758241758241756
2005-02-17,2005-Q1,21.06,11.571428571428571
2005-02-18,2005-Q1,21.759999999999998,11.956043956043956
2005-02-21,2005-Q1,21.589999999999996,11.86263736263736
2005-02-22,2005-Q1,21.319999999999997,11.714285714285714
2005-02-23,2005-Q1,21.479999999999997,11.802197802197805
2005-02-24,2005-Q1,21.719999999999995,11.934065934065933
2005-02-25,2005-Q1,21.109999999999996,11.5989010989011
2005-02-28,2005-Q1,20.609999999999996,11.324175824175825
2005-03-01,2005-Q1,20.28,61.45454545454545
2005-03-02,2005-Q1,20.109999999999996,60.93939393939394
2005-03-03,2005-Q1,20.109999999999996,60.93939393939394
2005-03-04,2005-Q1,20.289999999999996,61.48484848484848
2005-03-07,2005-Q1,20.029999999999998,60.696969696969695
2005-03-08,2005-Q1,19.889999999999997,60.27272727272727
2005-03-09,2005-Q1,19.809999999999995,60.030303030303024
