Date,Quarter,Close,PE
2005-01-03,2005-Q1,68.35,91.13333333333333
2005-01-04,2005-Q1,67.1,89.46666666666665
2005-01-05,2005-Q1,63.074999999999996,84.10000000000001
2005-01-06,2005-Q1,60.52499999999999,80.7
2005-01-07,2005-Q1,60.925,81.23333333333333
2005-01-10,2005-Q1,60.550000000000004,80.73333333333333
2005-01-11,2005-Q1,58.05000000000001,77.39999999999999
2005-01-12,2005-Q1,55.70000000000002,74.26666666666667
2005-01-13,2005-Q1,57.30000000000001,76.39999999999999
2005-01-14,2005-Q1,55.50000000000002,74.0
2005-01-17,2005-Q1,55.25000000000002,73.66666666666667
2005-01-18,2005-Q1,54.90000000000002,73.2
2005-01-19,2005-Q1,55.200000000000024,73.60000000000001
2005-01-20,2005-Q1,53.80000000000001,71.73333333333333
2005-01-21,2005-Q1,53.80000000000001,71.73333333333333
2005-01-24,2005-Q1,54.100000000000016,72.13333333333334
2005-01-25,2005-Q1,56.67500000000002,75.56666666666666
2005-01-26,2005-Q1,56.67500000000002,75.56666666666666
2005-01-27,2005-Q1,57.450000000000024,76.60000000000001
2005-01-28,2005-Q1,56.67500000000002,75.56666666666666
2005-01-31,2005-Q1,55.200000000000024,73.60000000000001
2005-02-01,2005-Q1,57.500000000000014,76.66666666666667
2005-02-02,2005-Q1,58.875000000000014,78.5
2005-02-03,2005-Q1,60.15000000000001,80.2
2005-02-04,2005-Q1,61.600000000000016,82.13333333333334
2005-02-07,2005-Q1,59.77500000000001,79.7
2005-02-08,2005-Q1,58.12500000000001,77.5
2005-02-09,2005-Q1,58.67500000000001,78.23333333333333
2005-02-10,2005-Q1,58.100000000000016,77.46666666666667
2005-02-11,2005-Q1,57.50000000000001,76.66666666666667
2005-02-14,2005-Q1,60.95000000000001,81.26666666666667
2005-02-15,2005-Q1,57.925000000000004,77.23333333333333
2005-02-16,2005-Q1,58.050000000000004,77.39999999999999
2005-02-17,2005-Q1,57.47500000000001,76.63333333333334
2005-02-18,2005-Q1,59.025000000000006,78.7
2005-02-21,2005-Q1,58.125,77.5
2005-02-22,2005-Q1,57.975,77.3
2005-02-23,2005-Q1,58.375,77.83333333333333
2005-02-24,2005-Q1,57.6,76.8
2005-02-25,2005-Q1,56.599999999999994,75.46666666666667
2005-02-28,2005-Q1,55.29999999999999,73.73333333333333
2005-03-01,2005-Q1,53.64999999999999,48.33333333333333
2005-03-02,2005-Q1,52.724999999999994,47.5
2005-03-03,2005-Q1,54.15,48.783783783783775
2005-03-04,2005-Q1,53.6,48.288288288288285
2005-03-07,2005-Q1,55.3,49.81981981981981
2005-03-08,2005-Q1,57.15,51.48648648648648
2005-03-09,2005-Q1,56.62499999999999,51.01351351351351
2005-03-10,2005-Q1,56.27499999999999,50.69819819819819
2005-03-11,2005-Q1,54.52499999999999,49.121621621621614
2005-03-14,2005-Q1,53.14999999999999,47.88288288288288
2005-03-15,2005-Q1,52.74999999999999,47.52252252252252
2005-03-16,2005-Q1,53.45,48.15315315315315
2005-03-17,2005-Q1,51.79999999999999,46.66666666666666
2005-03-18,2005-Q1,50.9,45.85585585585585
2005-03-21,2005-Q1,49.55,44.63963963963963
2005-03-22,2005-Q1,48.625,43.806306306306304
2005-03-23,2005-Q1,47.35,42.65765765765766
2005-03-24,2005-Q1,47.125,42.45495495495495
2005-03-25,2005-Q1,47.125,42.45495495495495
2005-03-28,2005-Q1,47.725,42.99549549549549
2005-03-29,2005-Q1,46.05,41.48648648648648
2005-03-30,2005-Q1,46.925,42.27477477477477
2005-03-31,2005-Q1,48.17499999999999,43.40090090090089
2005-04-01,2005-Q2,50.949999999999996,45.9009009009009
2005-04-04,2005-Q2,51.075,46.01351351351351
2005-04-05,2005-Q2,49.275,44.39189189189189
2005-04-06,2005-Q2,55.0,49.549549549549546
2005-04-07,2005-Q2,57.075,51.41891891891892
2005-04-08,2005-Q2,55.425,49.93243243243243
2005-04-11,2005-Q2,53.6,48.288288288288285
