Date,Quarter,Close,PE
2005-01-03,2005-Q1,37.305,4.876470588235294
2005-01-04,2005-Q1,37.095,4.849019607843137
2005-01-05,2005-Q1,35.22500000000001,4.604575163398692
2005-01-06,2005-Q1,34.16,4.465359477124182
2005-01-07,2005-Q1,34.335,4.488235294117647
2005-01-10,2005-Q1,34.45,4.503267973856209
2005-01-11,2005-Q1,33.74000000000001,4.41045751633987
2005-01-12,2005-Q1,32.01500000000001,4.184967320261438
2005-01-13,2005-Q1,33.33,4.356862745098039
2005-01-14,2005-Q1,32.695,4.273856209150327
2005-01-17,2005-Q1,32.87,4.296732026143791
2005-01-18,2005-Q1,32.245,4.215032679738561
2005-01-19,2005-Q1,31.57,4.126797385620915
2005-01-20,2005-Q1,30.9,4.03921568627451
2005-01-21,2005-Q1,30.9,4.03921568627451
2005-01-24,2005-Q1,31.04,4.057516339869281
2005-01-25,2005-Q1,31.210000000000004,4.079738562091503
2005-01-26,2005-Q1,31.210000000000004,4.079738562091503
2005-01-27,2005-Q1,31.185000000000002,4.076470588235294
2005-01-28,2005-Q1,31.445000000000007,4.110457516339869
2005-01-31,2005-Q1,31.910000000000007,4.171241830065359
2005-02-01,2005-Q1,32.010000000000005,4.184313725490195
2005-02-02,2005-Q1,32.41,4.236601307189542
2005-02-03,2005-Q1,32.97,4.309803921568627
2005-02-04,2005-Q1,32.745,4.280392156862745
2005-02-07,2005-Q1,32.71,4.275816993464052
2005-02-08,2005-Q1,32.535,4.252941176470587
2005-02-09,2005-Q1,32.845,4.2934640522875815
2005-02-10,2005-Q1,36.03,4.709803921568628
2005-02-11,2005-Q1,35.5,4.640522875816993
2005-02-14,2005-Q1,34.96,4.569934640522876
2005-02-15,2005-Q1,34.6,4.522875816993464
2005-02-16,2005-Q1,34.01500000000001,4.44640522875817
2005-02-17,2005-Q1,34.045,4.450326797385621
2005-02-18,2005-Q1,35.655,4.6607843137254905
2005-02-21,2005-Q1,34.79500000000001,4.548366013071895
2005-02-22,2005-Q1,34.690000000000005,4.534640522875817
2005-02-23,2005-Q1,35.44500000000001,4.633333333333333
2005-02-24,2005-Q1,34.915,4.564052287581699
2005-02-25,2005-Q1,35.185,4.599346405228758
2005-02-28,2005-Q1,35.85,4.686274509803922
2005-03-01,2005-Q1,35.635,3.436354869816779
2005-03-02,2005-Q1,35.79,3.4513018322082933
2005-03-03,2005-Q1,36.275000000000006,3.498071359691417
2005-03-04,2005-Q1,36.495000000000005,3.5192864030858244
2005-03-07,2005-Q1,36.77000000000001,3.5458052073288338
2005-03-08,2005-Q1,36.62500000000001,3.531822565091611
2005-03-09,2005-Q1,36.04500000000001,3.47589199614272
2005-03-10,2005-Q1,35.89500000000001,3.461427193828352
2005-03-11,2005-Q1,36.415000000000006,3.5115718418514947
2005-03-14,2005-Q1,39.23500000000001,3.78351012536162
2005-03-15,2005-Q1,46.71500000000002,4.504821600771457
2005-03-16,2005-Q1,47.35000000000001,4.566055930568949
2005-03-17,2005-Q1,43.555000000000014,4.200096432015429
2005-03-18,2005-Q1,43.59500000000001,4.203953712632594
2005-03-21,2005-Q1,44.59000000000002,4.299903567984572
2005-03-22,2005-Q1,42.68500000000002,4.116200578592093
2005-03-23,2005-Q1,41.41500000000002,3.993731918997107
2005-03-24,2005-Q1,40.32000000000002,3.888138862102218
2005-03-25,2005-Q1,40.32000000000002,3.888138862102218
2005-03-28,2005-Q1,40.40500000000002,3.896335583413694
2005-03-29,2005-Q1,38.66000000000002,3.7280617164898735
2005-03-30,2005-Q1,39.24000000000002,3.783992285438766
2005-03-31,2005-Q1,42.01500000000002,4.0515911282545805
2005-04-01,2005-Q2,43.210000000000015,4.166827386692383
2005-04-04,2005-Q2,42.50500000000002,4.098842815814851
2005-04-05,2005-Q2,41.32500000000002,3.985053037608487
2005-04-06,2005-Q2,42.84500000000002,4.131629701060753
2005-04-07,2005-Q2,42.130000000000024,4.06268081002893
2005-04-08,2005-Q2,41.310000000000024,3.98360655737705
2005-04-11,2005-Q2,41.86000000000002,4.036644165863067
2005-04-12,2005-Q2,41.91000000000002,4.041465766634523
