Date,Quarter,Close,PE
2005-01-03,2005-Q1,228.25,73.86731391585761
2005-01-04,2005-Q1,238.5,77.18446601941748
2005-01-05,2005-Q1,231.35,74.8705501618123
2005-01-06,2005-Q1,228.75000000000003,74.02912621359224
2005-01-07,2005-Q1,236.6,76.56957928802589
2005-01-10,2005-Q1,236.2,76.44012944983818
2005-01-11,2005-Q1,226.5,73.30097087378641
2005-01-12,2005-Q1,222.55,72.02265372168286
2005-01-13,2005-Q1,227.2,73.52750809061489
2005-01-14,2005-Q1,227.85,73.73786407766991
2005-01-17,2005-Q1,220.95,71.50485436893204
2005-01-18,2005-Q1,226.90000000000003,73.43042071197412
2005-01-19,2005-Q1,227.25,73.54368932038835
2005-01-20,2005-Q1,227.1,73.49514563106796
2005-01-21,2005-Q1,227.1,73.49514563106796
2005-01-24,2005-Q1,225.65,73.02588996763754
2005-01-25,2005-Q1,225.25,72.89644012944984
2005-01-26,2005-Q1,225.25,72.89644012944984
2005-01-27,2005-Q1,230.1,74.46601941747574
2005-01-28,2005-Q1,227.05000000000004,73.4789644012945
2005-01-31,2005-Q1,233.2,75.46925566343042
2005-02-01,2005-Q1,239.05000000000004,77.36245954692558
2005-02-02,2005-Q1,242.10000000000002,78.3495145631068
2005-02-03,2005-Q1,240.25000000000003,77.75080906148868
2005-02-04,2005-Q1,233.5,75.5663430420712
2005-02-07,2005-Q1,232.75,75.32362459546925
2005-02-08,2005-Q1,228.4,73.915857605178
2005-02-09,2005-Q1,228.2,73.85113268608414
2005-02-10,2005-Q1,230.05,74.44983818770227
2005-02-11,2005-Q1,235.3,76.14886731391586
2005-02-14,2005-Q1,234.25000000000003,75.80906148867314
2005-02-15,2005-Q1,234.55000000000004,75.90614886731392
2005-02-16,2005-Q1,238.20000000000005,77.0873786407767
2005-02-17,2005-Q1,240.90000000000003,77.96116504854369
2005-02-18,2005-Q1,239.55000000000004,77.5242718446602
2005-02-21,2005-Q1,233.60000000000002,75.59870550161813
2005-02-22,2005-Q1,232.15,75.12944983818771
2005-02-23,2005-Q1,236.8,76.63430420711975
2005-02-24,2005-Q1,239.6,77.54045307443366
2005-02-25,2005-Q1,237.45,76.84466019417475
2005-02-28,2005-Q1,238.4,77.15210355987055
2005-03-01,2005-Q1,242.00000000000003,
2005-03-02,2005-Q1,241.15,
2005-03-03,2005-Q1,244.30000000000004,
2005-03-04,2005-Q1,247.55000000000004,
2005-03-07,2005-Q1,245.50000000000003,
2005-03-08,2005-Q1,248.3,
2005-03-09,2005-Q1,243.35000000000002,
2005-03-10,2005-Q1,241.10000000000005,
2005-03-11,2005-Q1,235.85000000000002,
2005-03-14,2005-Q1,231.20000000000005,
2005-03-15,2005-Q1,240.70000000000007,
2005-03-16,2005-Q1,236.95000000000007,
2005-03-17,2005-Q1,234.25000000000009,
2005-03-18,2005-Q1,233.75000000000006,
2005-03-21,2005-Q1,227.15000000000006,
2005-03-22,2005-Q1,220.85000000000005,
2005-03-23,2005-Q1,218.15000000000003,
2005-03-24,2005-Q1,211.70000000000002,
2005-03-25,2005-Q1,211.70000000000002,
2005-03-28,2005-Q1,221.00000000000003,
2005-03-29,2005-Q1,221.95000000000005,
2005-03-30,2005-Q1,223.00000000000003,
2005-03-31,2005-Q1,227.8,
2005-04-01,2005-Q2,227.65,
2005-04-04,2005-Q2,222.25,
2005-04-05,2005-Q2,221.8,
2005-04-06,2005-Q2,225.5,
2005-04-07,2005-Q2,225.35,
2005-04-08,2005-Q2,225.35,
2005-04-11,2005-Q2,224.2,
2005-04-12,2005-Q2,224.79999999999998,
2005-04-13,2005-Q2,224.99999999999997,
2005-04-14,2005-Q2,224.99999999999997,
2005-04-15,2005-Q2,223.69999999999996,
2005-04-18,2005-Q2,223.04999999999995,
2005-04-19,2005-Q2,223.29999999999998,
2005-04-20,2005-Q2,220.99999999999994,
2005-04-21,2005-Q2,225.04999999999998,
2005-04-22,2005-Q2,225.69999999999996,
2005-04-25,2005-Q2,225.5,
2005-04-26,2005-Q2,226.6,
2005-04-27,2005-Q2,225.0,
2005-04-28,2005-Q2,225.20000000000002,
2005-04-29,2005-Q2,225.45,
2005-05-02,2005-Q2,227.89999999999998,
2005-05-03,2005-Q2,229.9,
2005-05-04,2005-Q2,230.79999999999998,
2005-05-05,2005-Q2,230.54999999999998,
2005-05-06,2005-Q2,230.14999999999995,
2005-05-09,2005-Q2,232.84999999999994,
2005-05-10,2005-Q2,237.59999999999994,
2005-05-11,2005-Q2,248.14999999999995,
