Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,7.56,,,,,0
2004-09-02,,,,,7.56,,,,,0
2004-09-03,,,,,7.56,,,,,0
2004-09-06,,,,,7.56,,,,,0
2004-09-07,,,,,7.56,,,,,0
2004-09-08,,,,,7.56,,,,,0
2004-09-09,,,,,7.56,,,,,0
2004-09-10,,,,,7.56,,,,,0
2004-09-13,,,,,7.56,,,,,0
2004-09-14,,,,,7.56,,,,,0
2004-09-15,,,,,7.56,,,,,0
2004-09-16,,,,,7.56,,,,,0
2004-09-17,,,,,7.56,,,,,0
2004-09-20,,,,,7.56,,,,,0
2004-09-21,,,,,7.56,,,,,0
2004-09-22,,,,,7.56,,,,,0
2004-09-23,,,,,7.56,,,,,0
2004-09-24,,,,,7.56,,,,,0
2004-09-27,,,,,7.56,,,,,0
2004-09-28,,,,,7.56,,,,,0
2004-09-29,,,,,7.56,,,,,0
2004-09-30,,,,,7.56,,,,,0
2004-10-01,,,,,7.56,,,,,0
2004-10-04,,,,,7.56,,,,,0
2004-10-05,,,,,7.56,,,,,0
2004-10-06,,,,,7.56,,,,,0
2004-10-07,,,,,7.56,,,,,0
2004-10-08,,,,,7.56,,,,,0
2004-10-11,,,,,7.56,,,,,0
2004-10-12,,,,,7.56,,,,,0
2004-10-13,,,,,7.56,,,,,0
2004-10-14,,,,,7.56,,,,,0
2004-10-15,,,,,7.56,,,,,0
2004-10-18,,,,,7.56,,,,,0
2004-10-19,,,,,7.56,,,,,0
2004-10-20,,,,,7.56,,,,,0
2004-10-21,,,,,7.56,,,,,0
2004-10-22,,,,,7.56,,,,,0
2004-10-25,,,,,7.56,,,,,0
2004-10-26,,,,,7.56,,,,,0
2004-10-27,,,,,7.56,,,,,0
2004-10-28,,,,,7.56,,,,,0
2004-10-29,,,,,7.56,,,,,0
2004-11-01,,,,,7.56,,,,,0
2004-11-02,,,,,7.56,,,,,0
2004-11-03,,,,,7.56,,,,,0
2004-11-04,,,,,7.56,,,,,0
2004-11-05,,,,,7.56,,,,,0
2004-11-08,,,,,7.56,,,,,0
2004-11-09,,,,,7.56,,,,,0
2004-11-10,,,,,7.56,,,,,0
2004-11-11,,,,,7.56,,,,,0
2004-11-12,,,,,7.56,,,,,0
2004-11-15,,,,,7.56,,,,,0
2004-11-16,,,,,7.56,,,,,0
2004-11-17,,,,,7.56,,,,,0
2004-11-18,,,,,7.56,,,,,0
2004-11-19,,,,,7.56,,,,,0
2004-11-22,,,,,7.56,,,,,0
2004-11-23,,,,,7.56,,,,,0
2004-11-24,,,,,7.56,,,,,0
2004-11-25,,,,,7.56,,,,,0
2004-11-26,,,,,7.56,,,,,0
2004-11-29,,,,,7.56,,,,,0
2004-11-30,,,,,7.56,,,,,0
2004-12-01,,,,,-0.5,,,,,0
2004-12-02,,,,,-0.5,,,,,0
2004-12-03,,,,,-0.5,,,,,0
2004-12-06,,,,,-0.5,,,,,0
2004-12-07,,,,,-0.5,,,,,0
2004-12-08,,,,,-0.5,,,,,0
2004-12-09,,,,,-0.5,,,,,0
2004-12-10,,,,,-0.5,,,,,0
2004-12-13,,,,,-0.5,,,,,0
2004-12-14,,,,,-0.5,,,,,0
2004-12-15,,,,,-0.5,,,,,0
2004-12-16,,,,,-0.5,,,,,0
2004-12-17,,,,,-0.5,,,,,0
2004-12-20,,,,,-0.5,,,,,0
2004-12-21,,,,,-0.5,,,,,0
2004-12-22,,,,,-0.5,,,,,0
2004-12-23,,,,,-0.5,,,,,0
2004-12-24,,,,,-0.5,,,,,0
2004-12-27,,,,,-0.5,,,,,0
2004-12-28,,,,,-0.5,,,,,0
2004-12-29,,,,,-0.5,,,,,0
