Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,5.1,,,,,0
2004-09-02,,,,,5.1,,,,,0
2004-09-03,,,,,5.1,,,,,0
2004-09-06,,,,,5.1,,,,,0
2004-09-07,,,,,5.1,,,,,0
2004-09-08,,,,,5.1,,,,,0
2004-09-09,,,,,5.1,,,,,0
2004-09-10,,,,,5.1,,,,,0
2004-09-13,,,,,5.1,,,,,0
2004-09-14,,,,,5.1,,,,,0
2004-09-15,,,,,5.1,,,,,0
2004-09-16,,,,,5.1,,,,,0
2004-09-17,,,,,5.1,,,,,0
2004-09-20,,,,,5.1,,,,,0
2004-09-21,,,,,5.1,,,,,0
2004-09-22,,,,,5.1,,,,,0
2004-09-23,,,,,5.1,,,,,0
2004-09-24,,,,,5.1,,,,,0
2004-09-27,,,,,5.1,,,,,0
2004-09-28,,,,,5.1,,,,,0
2004-09-29,,,,,5.1,,,,,0
2004-09-30,,,,,5.1,,,,,0
2004-10-01,,,,,5.1,,,,,0
2004-10-04,,,,,5.1,,,,,0
2004-10-05,,,,,5.1,,,,,0
2004-10-06,,,,,5.1,,,,,0
2004-10-07,,,,,5.1,,,,,0
2004-10-08,,,,,5.1,,,,,0
2004-10-11,,,,,5.1,,,,,0
2004-10-12,,,,,5.1,,,,,0
2004-10-13,,,,,5.1,,,,,0
2004-10-14,,,,,5.1,,,,,0
2004-10-15,,,,,5.1,,,,,0
2004-10-18,,,,,5.1,,,,,0
2004-10-19,,,,,5.1,,,,,0
2004-10-20,,,,,5.1,,,,,0
2004-10-21,,,,,5.1,,,,,0
2004-10-22,,,,,5.1,,,,,0
2004-10-25,,,,,5.1,,,,,0
2004-10-26,,,,,5.1,,,,,0
2004-10-27,,,,,5.1,,,,,0
2004-10-28,,,,,5.1,,,,,0
2004-10-29,,,,,5.1,,,,,0
2004-11-01,,,,,5.1,,,,,0
2004-11-02,,,,,5.1,,,,,0
2004-11-03,,,,,5.1,,,,,0
2004-11-04,,,,,5.1,,,,,0
2004-11-05,,,,,5.1,,,,,0
2004-11-08,,,,,5.1,,,,,0
2004-11-09,,,,,5.1,,,,,0
2004-11-10,,,,,5.1,,,,,0
2004-11-11,,,,,5.1,,,,,0
2004-11-12,,,,,5.1,,,,,0
2004-11-15,,,,,5.1,,,,,0
2004-11-16,,,,,5.1,,,,,0
2004-11-17,,,,,5.1,,,,,0
2004-11-18,,,,,5.1,,,,,0
2004-11-19,,,,,5.1,,,,,0
2004-11-22,,,,,5.1,,,,,0
2004-11-23,,,,,5.1,,,,,0
2004-11-24,,,,,5.1,,,,,0
2004-11-25,,,,,5.1,,,,,0
2004-11-26,,,,,5.1,,,,,0
2004-11-29,,,,,5.1,,,,,0
2004-11-30,,,,,5.1,,,,,0
2004-12-01,,,,,2.13,,,,,0
2004-12-02,,,,,2.13,,,,,0
2004-12-03,,,,,2.13,,,,,0
2004-12-06,,,,,2.13,,,,,0
2004-12-07,,,,,2.13,,,,,0
2004-12-08,,,,,2.13,,,,,0
2004-12-09,,,,,2.13,,,,,0
2004-12-10,,,,,2.13,,,,,0
2004-12-13,,,,,2.13,,,,,0
2004-12-14,,,,,2.13,,,,,0
2004-12-15,,,,,2.13,,,,,0
2004-12-16,,,,,2.13,,,,,0
2004-12-17,,,,,2.13,,,,,0
2004-12-20,,,,,2.13,,,,,0
2004-12-21,,,,,2.13,,,,,0
2004-12-22,,,,,2.13,,,,,0
2004-12-23,,,,,2.13,,,,,0
2004-12-24,,,,,2.13,,,,,0
2004-12-27,,,,,2.13,,,,,0
2004-12-28,,,,,2.13,,,,,0
2004-12-29,,,,,2.13,,,,,0
2004-12-30,,,,,2.13,,,,,0
2004-12-31,,,,,2.13,,,,,0
