Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,1.14,,,,,0
2004-09-02,,,,,1.14,,,,,0
2004-09-03,,,,,1.14,,,,,0
2004-09-06,,,,,1.14,,,,,0
2004-09-07,,,,,1.14,,,,,0
2004-09-08,,,,,1.14,,,,,0
2004-09-09,,,,,1.14,,,,,0
2004-09-10,,,,,1.14,,,,,0
2004-09-13,,,,,1.14,,,,,0
2004-09-14,,,,,1.14,,,,,0
2004-09-15,,,,,1.14,,,,,0
2004-09-16,,,,,1.14,,,,,0
2004-09-17,,,,,1.14,,,,,0
2004-09-20,,,,,1.14,,,,,0
2004-09-21,,,,,1.14,,,,,0
2004-09-22,,,,,1.14,,,,,0
2004-09-23,,,,,1.14,,,,,0
2004-09-24,,,,,1.14,,,,,0
2004-09-27,,,,,1.14,,,,,0
2004-09-28,,,,,1.14,,,,,0
2004-09-29,,,,,1.14,,,,,0
2004-09-30,,,,,1.14,,,,,0
2004-10-01,,,,,1.14,,,,,0
2004-10-04,,,,,1.14,,,,,0
2004-10-05,,,,,1.14,,,,,0
2004-10-06,,,,,1.14,,,,,0
2004-10-07,,,,,1.14,,,,,0
2004-10-08,,,,,1.14,,,,,0
2004-10-11,,,,,1.14,,,,,0
2004-10-12,,,,,1.14,,,,,0
2004-10-13,,,,,1.14,,,,,0
2004-10-14,,,,,1.14,,,,,0
2004-10-15,,,,,1.14,,,,,0
2004-10-18,,,,,1.14,,,,,0
2004-10-19,,,,,1.14,,,,,0
2004-10-20,,,,,1.14,,,,,0
2004-10-21,,,,,1.14,,,,,0
2004-10-22,,,,,1.14,,,,,0
2004-10-25,,,,,1.14,,,,,0
2004-10-26,,,,,1.14,,,,,0
2004-10-27,,,,,1.14,,,,,0
2004-10-28,,,,,1.14,,,,,0
2004-10-29,,,,,1.14,,,,,0
2004-11-01,,,,,1.14,,,,,0
2004-11-02,,,,,1.14,,,,,0
