Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,4.03,,,,,0
2004-09-02,,,,,4.03,,,,,0
2004-09-03,,,,,4.03,,,,,0
2004-09-06,,,,,4.03,,,,,0
2004-09-07,,,,,4.03,,,,,0
2004-09-08,,,,,4.03,,,,,0
2004-09-09,,,,,4.03,,,,,0
2004-09-10,,,,,4.03,,,,,0
2004-09-13,,,,,4.03,,,,,0
2004-09-14,,,,,4.03,,,,,0
2004-09-15,,,,,4.03,,,,,0
2004-09-16,,,,,4.03,,,,,0
2004-09-17,,,,,4.03,,,,,0
2004-09-20,,,,,4.03,,,,,0
2004-09-21,,,,,4.03,,,,,0
2004-09-22,,,,,4.03,,,,,0
2004-09-23,,,,,4.03,,,,,0
2004-09-24,,,,,4.03,,,,,0
2004-09-27,,,,,4.03,,,,,0
2004-09-28,,,,,4.03,,,,,0
2004-09-29,,,,,4.03,,,,,0
2004-09-30,,,,,4.03,,,,,0
2004-10-01,,,,,4.03,,,,,0
2004-10-04,,,,,4.03,,,,,0
2004-10-05,,,,,4.03,,,,,0
2004-10-06,,,,,4.03,,,,,0
2004-10-07,,,,,4.03,,,,,0
2004-10-08,,,,,4.03,,,,,0
2004-10-11,,,,,4.03,,,,,0
2004-10-12,,,,,4.03,,,,,0
2004-10-13,,,,,4.03,,,,,0
2004-10-14,,,,,4.03,,,,,0
2004-10-15,,,,,4.03,,,,,0
2004-10-18,,,,,4.03,,,,,0
2004-10-19,,,,,4.03,,,,,0
2004-10-20,,,,,4.03,,,,,0
2004-10-21,,,,,4.03,,,,,0
2004-10-22,,,,,4.03,,,,,0
2004-10-25,,,,,4.03,,,,,0
2004-10-26,,,,,4.03,,,,,0
2004-10-27,,,,,4.03,,,,,0
2004-10-28,,,,,4.03,,,,,0
2004-10-29,,,,,4.03,,,,,0
2004-11-01,,,,,4.03,,,,,0
2004-11-02,,,,,4.03,,,,,0
2004-11-03,,,,,4.03,,,,,0
2004-11-04,,,,,4.03,,,,,0
2004-11-05,,,,,4.03,,,,,0
2004-11-08,,,,,4.03,,,,,0
2004-11-09,,,,,4.03,,,,,0
2004-11-10,,,,,4.03,,,,,0
2004-11-11,,,,,4.03,,,,,0
2004-11-12,,,,,4.03,,,,,0
2004-11-15,,,,,4.03,,,,,0
2004-11-16,,,,,4.03,,,,,0
2004-11-17,,,,,4.03,,,,,0
2004-11-18,,,,,4.03,,,,,0
2004-11-19,,,,,4.03,,,,,0
2004-11-22,,,,,4.03,,,,,0
2004-11-23,,,,,4.03,,,,,0
2004-11-24,,,,,4.03,,,,,0
2004-11-25,,,,,4.03,,,,,0
2004-11-26,,,,,4.03,,,,,0
2004-11-29,,,,,4.03,,,,,0
2004-11-30,,,,,4.03,,,,,0
2004-12-01,,,,,15.4,,,,,0
2004-12-02,,,,,15.4,,,,,0
2004-12-03,,,,,15.4,,,,,0
2004-12-06,,,,,15.4,,,,,0
2004-12-07,,,,,15.4,,,,,0
2004-12-08,,,,,15.4,,,,,0
2004-12-09,,,,,15.4,,,,,0
2004-12-10,,,,,15.4,,,,,0
2004-12-13,,,,,15.4,,,,,0
2004-12-14,,,,,15.4,,,,,0
2004-12-15,,,,,15.4,,,,,0
2004-12-16,,,,,15.4,,,,,0
2004-12-17,,,,,15.4,,,,,0
2004-12-20,,,,,15.4,,,,,0
2004-12-21,,,,,15.4,,,,,0
2004-12-22,,,,,15.4,,,,,0
2004-12-23,,,,,15.4,,,,,0
2004-12-24,,,,,15.4,,,,,0
2004-12-27,,,,,15.4,,,,,0
