Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,8.42,,,,,0
2004-09-02,,,,,8.42,,,,,0
2004-09-03,,,,,8.42,,,,,0
2004-09-06,,,,,8.42,,,,,0
2004-09-07,,,,,8.42,,,,,0
2004-09-08,,,,,8.42,,,,,0
2004-09-09,,,,,8.42,,,,,0
2004-09-10,,,,,8.42,,,,,0
2004-09-13,,,,,8.42,,,,,0
2004-09-14,,,,,8.42,,,,,0
2004-09-15,,,,,8.42,,,,,0
2004-09-16,,,,,8.42,,,,,0
2004-09-17,,,,,8.42,,,,,0
2004-09-20,,,,,8.42,,,,,0
2004-09-21,,,,,8.42,,,,,0
2004-09-22,,,,,8.42,,,,,0
2004-09-23,,,,,8.42,,,,,0
2004-09-24,,,,,8.42,,,,,0
2004-09-27,,,,,8.42,,,,,0
2004-09-28,,,,,8.42,,,,,0
2004-09-29,,,,,8.42,,,,,0
2004-09-30,,,,,8.42,,,,,0
2004-10-01,,,,,8.42,,,,,0
2004-10-04,,,,,8.42,,,,,0
2004-10-05,,,,,8.42,,,,,0
2004-10-06,,,,,8.42,,,,,0
2004-10-07,,,,,8.42,,,,,0
2004-10-08,,,,,8.42,,,,,0
2004-10-11,,,,,8.42,,,,,0
2004-10-12,,,,,8.42,,,,,0
2004-10-13,,,,,8.42,,,,,0
2004-10-14,,,,,8.42,,,,,0
2004-10-15,,,,,8.42,,,,,0
2004-10-18,,,,,8.42,,,,,0
2004-10-19,,,,,8.42,,,,,0
2004-10-20,,,,,8.42,,,,,0
2004-10-21,,,,,8.42,,,,,0
2004-10-22,,,,,8.42,,,,,0
2004-10-25,,,,,8.42,,,,,0
2004-10-26,,,,,8.42,,,,,0
2004-10-27,,,,,8.42,,,,,0
2004-10-28,,,,,8.42,,,,,0
2004-10-29,,,,,8.42,,,,,0
2004-11-01,,,,,8.42,,,,,0
2004-11-02,,,,,8.42,,,,,0
2004-11-03,,,,,8.42,,,,,0
2004-11-04,,,,,8.42,,,,,0
2004-11-05,,,,,8.42,,,,,0
2004-11-08,,,,,8.42,,,,,0
2004-11-09,,,,,8.42,,,,,0
2004-11-10,,,,,8.42,,,,,0
2004-11-11,,,,,8.42,,,,,0
2004-11-12,,,,,8.42,,,,,0
2004-11-15,,,,,8.42,,,,,0
2004-11-16,,,,,8.42,,,,,0
2004-11-17,,,,,8.42,,,,,0
2004-11-18,,,,,8.42,,,,,0
2004-11-19,,,,,8.42,,,,,0
2004-11-22,,,,,8.42,,,,,0
2004-11-23,,,,,8.42,,,,,0
2004-11-24,,,,,8.42,,,,,0
2004-11-25,,,,,8.42,,,,,0
2004-11-26,,,,,8.42,,,,,0
2004-11-29,,,,,8.42,,,,,0
2004-11-30,,,,,8.42,,,,,0
2004-12-01,,,,,23.75,,,,,0
2004-12-02,,,,,23.75,,,,,0
2004-12-03,,,,,23.75,,,,,0
2004-12-06,,,,,23.75,,,,,0
2004-12-07,,,,,23.75,,,,,0
2004-12-08,,,,,23.75,,,,,0
2004-12-09,,,,,23.75,,,,,0
2004-12-10,,,,,23.75,,,,,0
2004-12-13,,,,,23.75,,,,,0
2004-12-14,,,,,23.75,,,,,0
2004-12-15,,,,,23.75,,,,,0
2004-12-16,,,,,23.75,,,,,0
2004-12-17,,,,,23.75,,,,,0
2004-12-20,,,,,23.75,,,,,0
2004-12-21,,,,,23.75,,,,,0
2004-12-22,,,,,23.75,,,,,0
