Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,0.01,,,,,0
2004-09-02,,,,,0.01,,,,,0
2004-09-03,,,,,0.01,,,,,0
2004-09-06,,,,,0.01,,,,,0
2004-09-07,,,,,0.01,,,,,0
2004-09-08,,,,,0.01,,,,,0
2004-09-09,,,,,0.01,,,,,0
2004-09-10,,,,,0.01,,,,,0
2004-09-13,,,,,0.01,,,,,0
2004-09-14,,,,,0.01,,,,,0
2004-09-15,,,,,0.01,,,,,0
2004-09-16,,,,,0.01,,,,,0
2004-09-17,,,,,0.01,,,,,0
2004-09-20,,,,,0.01,,,,,0
2004-09-21,,,,,0.01,,,,,0
2004-09-22,,,,,0.01,,,,,0
2004-09-23,,,,,0.01,,,,,0
2004-09-24,,,,,0.01,,,,,0
2004-09-27,,,,,0.01,,,,,0
2004-09-28,,,,,0.01,,,,,0
2004-09-29,,,,,0.01,,,,,0
2004-09-30,,,,,0.01,,,,,0
2004-10-01,,,,,0.01,,,,,0
2004-10-04,,,,,0.01,,,,,0
2004-10-05,,,,,0.01,,,,,0
2004-10-06,,,,,0.01,,,,,0
2004-10-07,,,,,0.01,,,,,0
2004-10-08,,,,,0.01,,,,,0
2004-10-11,,,,,0.01,,,,,0
2004-10-12,,,,,0.01,,,,,0
2004-10-13,,,,,0.01,,,,,0
2004-10-14,,,,,0.01,,,,,0
2004-10-15,,,,,0.01,,,,,0
2004-10-18,,,,,0.01,,,,,0
2004-10-19,,,,,0.01,,,,,0
2004-10-20,,,,,0.01,,,,,0
2004-10-21,,,,,0.01,,,,,0
2004-10-22,,,,,0.01,,,,,0
2004-10-25,,,,,0.01,,,,,0
2004-10-26,,,,,0.01,,,,,0
2004-10-27,,,,,0.01,,,,,0
2004-10-28,,,,,0.01,,,,,0
2004-10-29,,,,,0.01,,,,,0
2004-11-01,,,,,0.01,,,,,0
2004-11-02,,,,,0.01,,,,,0
2004-11-03,,,,,0.01,,,,,0
2004-11-04,,,,,0.01,,,,,0
2004-11-05,,,,,0.01,,,,,0
2004-11-08,,,,,0.01,,,,,0
2004-11-09,,,,,0.01,,,,,0
2004-11-10,,,,,0.01,,,,,0
2004-11-11,,,,,0.01,,,,,0
2004-11-12,,,,,0.01,,,,,0
2004-11-15,,,,,0.01,,,,,0
2004-11-16,,,,,0.01,,,,,0
2004-11-17,,,,,0.01,,,,,0
2004-11-18,,,,,0.01,,,,,0
2004-11-19,,,,,0.01,,,,,0
2004-11-22,,,,,0.01,,,,,0
2004-11-23,,,,,0.01,,,,,0
2004-11-24,,,,,0.01,,,,,0
2004-11-25,,,,,0.01,,,,,0
2004-11-26,,,,,0.01,,,,,0
2004-11-29,,,,,0.01,,,,,0
2004-11-30,,,,,0.01,,,,,0
2004-12-01,,,,,-0.13,,,,,0
2004-12-02,,,,,-0.13,,,,,0
2004-12-03,,,,,-0.13,,,,,0
2004-12-06,,,,,-0.13,,,,,0
2004-12-07,,,,,-0.13,,,,,0
2004-12-08,,,,,-0.13,,,,,0
2004-12-09,,,,,-0.13,,,,,0
2004-12-10,,,,,-0.13,,,,,0
2004-12-13,,,,,-0.13,,,,,0
2004-12-14,,,,,-0.13,,,,,0
2004-12-15,,,,,-0.13,,,,,0
2004-12-16,,,,,-0.13,,,,,0
2004-12-17,,,,,-0.13,,,,,0
2004-12-20,,,,,-0.13,,,,,0
2004-12-21,,,,,-0.13,,,,,0
2004-12-22,,,,,-0.13,,,,,0
2004-12-23,,,,,-0.13,,,,,0
2004-12-24,,,,,-0.13,,,,,0
2004-12-27,,,,,-0.13,,,,,0
2004-12-28,,,,,-0.13,,,,,0
2004-12-29,,,,,-0.13,,,,,0
2004-12-30,,,,,-0.13,,,,,0
2004-12-31,,,,,-0.13,,,,,0
2005-01-03,6.35,6.35,6.35,6.35,-0.13,,,,,0
2005-01-04,6.7,6.7,6.7,6.7,-0.13,,,,,0
2005-01-05,6.8,6.8,6.8,6.8,-0.13,,,,,0
2005-01-06,7.15,7.15,7.15,7.15,-0.13,,,,,0
2005-01-07,7.55,7.55,7.55,7.55,-0.13,,,,,0
2005-01-10,7.95,7.95,7.95,7.95,-0.13,,,,,0
2005-01-11,8.35,8.35,8.35,8.35,-0.13,,,,,0
2005-01-12,8.0,8.0,8.0,8.0,-0.13,,,,,0
2005-01-13,8.05,8.05,8.05,8.05,-0.13,,,,,0
2005-01-14,7.7,7.7,7.7,7.7,-0.13,,,,,0
2005-01-17,7.35,7.35,7.35,7.35,-0.13,,,,,0
2005-01-18,7.0,7.0,7.0,7.0,-0.13,,,,,0
2005-01-19,6.65,6.65,6.65,6.65,-0.13,,,,,0
2005-01-20,6.35,6.35,6.35,6.35,-0.13,,,,,0
2005-01-21,6.35,6.35,6.35,6.35,-0.13,,,,,0
2005-01-24,6.5,6.5,6.5,6.5,-0.13,,,,,0
2005-01-25,6.5,6.5,6.5,6.5,-0.13,,,,,0
2005-01-26,6.5,6.5,6.5,6.5,-0.13,,,,,0
2005-01-27,6.8,6.8,6.8,6.8,-0.13,,,,,0
2005-01-28,6.7,6.7,6.7,6.7,-0.13,,,,,0
2005-01-31,6.45,6.45,6.45,6.45,-0.13,,,,,0
2005-02-01,6.35,6.35,6.35,6.35,-0.13,,,,,0
2005-02-02,6.3,6.3,6.3,6.3,-0.13,,,,,0
2005-02-03,6.6,6.6,6.6,6.6,-0.13,,,,,0
2005-02-04,6.45,6.45,6.45,6.45,-0.13,,,,,0
2005-02-07,6.8,6.8,6.8,6.8,-0.13,,,,,0
2005-02-08,7.1,7.1,7.1,7.1,-0.13,,,,,0
2005-02-09,7.5,7.5,7.5,7.5,-0.13,,,,,0
2005-02-10,7.6,7.6,7.6,7.6,-0.13,,,,,0
2005-02-11,7.75,7.75,7.75,7.75,-0.13,,,,,0
2005-02-14,7.5,7.5,7.5,7.5,-0.13,,,,,0
2005-02-15,7.15,7.15,7.15,7.15,-0.13,,,,,0
2005-02-16,6.9,6.9,6.9,6.9,-0.13,,,,,0
2005-02-17,6.8,6.8,6.8,6.8,-0.13,,,,,0
2005-02-18,6.5,6.5,6.5,6.5,-0.13,,,,,0
2005-02-21,6.55,6.55,6.55,6.55,-0.13,,,,,0
2005-02-22,6.45,6.45,6.45,6.45,-0.13,,,,,0
2005-02-23,6.35,6.35,6.35,6.35,-0.13,,,,,0
2005-02-24,6.2,6.2,6.2,6.2,-0.13,,,,,0
