Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,4.46,,,,,0
2004-09-02,,,,,4.46,,,,,0
2004-09-03,,,,,4.46,,,,,0
2004-09-06,,,,,4.46,,,,,0
2004-09-07,,,,,4.46,,,,,0
2004-09-08,,,,,4.46,,,,,0
2004-09-09,,,,,4.46,,,,,0
2004-09-10,,,,,4.46,,,,,0
2004-09-13,,,,,4.46,,,,,0
2004-09-14,,,,,4.46,,,,,0
2004-09-15,,,,,4.46,,,,,0
2004-09-16,,,,,4.46,,,,,0
2004-09-17,,,,,4.46,,,,,0
2004-09-20,,,,,4.46,,,,,0
2004-09-21,,,,,4.46,,,,,0
2004-09-22,,,,,4.46,,,,,0
2004-09-23,,,,,4.46,,,,,0
2004-09-24,,,,,4.46,,,,,0
2004-09-27,,,,,4.46,,,,,0
2004-09-28,,,,,4.46,,,,,0
2004-09-29,,,,,4.46,,,,,0
2004-09-30,,,,,4.46,,,,,0
2004-10-01,,,,,4.46,,,,,0
2004-10-04,,,,,4.46,,,,,0
2004-10-05,,,,,4.46,,,,,0
2004-10-06,,,,,4.46,,,,,0
2004-10-07,,,,,4.46,,,,,0
2004-10-08,,,,,4.46,,,,,0
2004-10-11,,,,,4.46,,,,,0
2004-10-12,,,,,4.46,,,,,0
2004-10-13,,,,,4.46,,,,,0
2004-10-14,,,,,4.46,,,,,0
2004-10-15,,,,,4.46,,,,,0
2004-10-18,,,,,4.46,,,,,0
2004-10-19,,,,,4.46,,,,,0
2004-10-20,,,,,4.46,,,,,0
2004-10-21,,,,,4.46,,,,,0
2004-10-22,,,,,4.46,,,,,0
2004-10-25,,,,,4.46,,,,,0
2004-10-26,,,,,4.46,,,,,0
2004-10-27,,,,,4.46,,,,,0
2004-10-28,,,,,4.46,,,,,0
2004-10-29,,,,,4.46,,,,,0
2004-11-01,,,,,4.46,,,,,0
2004-11-02,,,,,4.46,,,,,0
2004-11-03,,,,,4.46,,,,,0
2004-11-04,,,,,4.46,,,,,0
2004-11-05,,,,,4.46,,,,,0
2004-11-08,,,,,4.46,,,,,0
2004-11-09,,,,,4.46,,,,,0
2004-11-10,,,,,4.46,,,,,0
2004-11-11,,,,,4.46,,,,,0
2004-11-12,,,,,4.46,,,,,0
2004-11-15,,,,,4.46,,,,,0
2004-11-16,,,,,4.46,,,,,0
2004-11-17,,,,,4.46,,,,,0
2004-11-18,,,,,4.46,,,,,0
2004-11-19,,,,,4.46,,,,,0
2004-11-22,,,,,4.46,,,,,0
2004-11-23,,,,,4.46,,,,,0
