Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,0.36,,,,,0
2004-09-02,,,,,0.36,,,,,0
2004-09-03,,,,,0.36,,,,,0
2004-09-06,,,,,0.36,,,,,0
2004-09-07,,,,,0.36,,,,,0
2004-09-08,,,,,0.36,,,,,0
2004-09-09,,,,,0.36,,,,,0
2004-09-10,,,,,0.36,,,,,0
2004-09-13,,,,,0.36,,,,,0
2004-09-14,,,,,0.36,,,,,0
2004-09-15,,,,,0.36,,,,,0
2004-09-16,,,,,0.36,,,,,0
2004-09-17,,,,,0.36,,,,,0
2004-09-20,,,,,0.36,,,,,0
2004-09-21,,,,,0.36,,,,,0
2004-09-22,,,,,0.36,,,,,0
2004-09-23,,,,,0.36,,,,,0
2004-09-24,,,,,0.36,,,,,0
2004-09-27,,,,,0.36,,,,,0
2004-09-28,,,,,0.36,,,,,0
2004-09-29,,,,,0.36,,,,,0
2004-09-30,,,,,0.36,,,,,0
2004-10-01,,,,,0.36,,,,,0
2004-10-04,,,,,0.36,,,,,0
2004-10-05,,,,,0.36,,,,,0
2004-10-06,,,,,0.36,,,,,0
2004-10-07,,,,,0.36,,,,,0
2004-10-08,,,,,0.36,,,,,0
2004-10-11,,,,,0.36,,,,,0
2004-10-12,,,,,0.36,,,,,0
2004-10-13,,,,,0.36,,,,,0
2004-10-14,,,,,0.36,,,,,0
2004-10-15,,,,,0.36,,,,,0
2004-10-18,,,,,0.36,,,,,0
2004-10-19,,,,,0.36,,,,,0
2004-10-20,,,,,0.36,,,,,0
2004-10-21,,,,,0.36,,,,,0
2004-10-22,,,,,0.36,,,,,0
2004-10-25,,,,,0.36,,,,,0
2004-10-26,,,,,0.36,,,,,0
2004-10-27,,,,,0.36,,,,,0
2004-10-28,,,,,0.36,,,,,0
2004-10-29,,,,,0.36,,,,,0
2004-11-01,,,,,0.36,,,,,0
2004-11-02,,,,,0.36,,,,,0
2004-11-03,,,,,0.36,,,,,0
2004-11-04,,,,,0.36,,,,,0
2004-11-05,,,,,0.36,,,,,0
2004-11-08,,,,,0.36,,,,,0
2004-11-09,,,,,0.36,,,,,0
2004-11-10,,,,,0.36,,,,,0
2004-11-11,,,,,0.36,,,,,0
2004-11-12,,,,,0.36,,,,,0
2004-11-15,,,,,0.36,,,,,0
2004-11-16,,,,,0.36,,,,,0
2004-11-17,,,,,0.36,,,,,0
2004-11-18,,,,,0.36,,,,,0
2004-11-19,,,,,0.36,,,,,0
2004-11-22,,,,,0.36,,,,,0
2004-11-23,,,,,0.36,,,,,0
2004-11-24,,,,,0.36,,,,,0
2004-11-25,,,,,0.36,,,,,0
2004-11-26,,,,,0.36,,,,,0
2004-11-29,,,,,0.36,,,,,0
2004-11-30,,,,,0.36,,,,,0
2004-12-01,,,,,0.45,,,,,0
2004-12-02,,,,,0.45,,,,,0
2004-12-03,,,,,0.45,,,,,0
2004-12-06,,,,,0.45,,,,,0
2004-12-07,,,,,0.45,,,,,0
2004-12-08,,,,,0.45,,,,,0
2004-12-09,,,,,0.45,,,,,0
2004-12-10,,,,,0.45,,,,,0
2004-12-13,,,,,0.45,,,,,0
2004-12-14,,,,,0.45,,,,,0
2004-12-15,,,,,0.45,,,,,0
2004-12-16,,,,,0.45,,,,,0
2004-12-17,,,,,0.45,,,,,0
2004-12-20,,,,,0.45,,,,,0
2004-12-21,,,,,0.45,,,,,0
2004-12-22,,,,,0.45,,,,,0
2004-12-23,,,,,0.45,,,,,0
2004-12-24,,,,,0.45,,,,,0
2004-12-27,,,,,0.45,,,,,0
2004-12-28,,,,,0.45,,,,,0
2004-12-29,,,,,0.45,,,,,0
2004-12-30,,,,,0.45,,,,,0
2004-12-31,,,,,0.45,,,,,0
2005-01-03,12.3,12.3,12.3,12.3,0.45,27.333333333333336,,,,0
2005-01-04,12.075,12.075,12.075,12.075,0.45,26.83333333333333,,,,0
2005-01-05,11.6,11.6,11.6,11.6,0.45,25.77777777777777,,,,0
2005-01-06,11.45,11.45,11.45,11.45,0.45,25.444444444444443,,,,0
2005-01-07,11.6,11.6,11.6,11.6,0.45,25.77777777777777,,,,0
