Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,3.08,,,,,0
2004-09-02,,,,,3.08,,,,,0
2004-09-03,,,,,3.08,,,,,0
2004-09-06,,,,,3.08,,,,,0
2004-09-07,,,,,3.08,,,,,0
2004-09-08,,,,,3.08,,,,,0
2004-09-09,,,,,3.08,,,,,0
2004-09-10,,,,,3.08,,,,,0
2004-09-13,,,,,3.08,,,,,0
2004-09-14,,,,,3.08,,,,,0
2004-09-15,,,,,3.08,,,,,0
2004-09-16,,,,,3.08,,,,,0
2004-09-17,,,,,3.08,,,,,0
2004-09-20,,,,,3.08,,,,,0
2004-09-21,,,,,3.08,,,,,0
2004-09-22,,,,,3.08,,,,,0
2004-09-23,,,,,3.08,,,,,0
2004-09-24,,,,,3.08,,,,,0
2004-09-27,,,,,3.08,,,,,0
2004-09-28,,,,,3.08,,,,,0
2004-09-29,,,,,3.08,,,,,0
2004-09-30,,,,,3.08,,,,,0
2004-10-01,,,,,3.08,,,,,0
2004-10-04,,,,,3.08,,,,,0
2004-10-05,,,,,3.08,,,,,0
2004-10-06,,,,,3.08,,,,,0
2004-10-07,,,,,3.08,,,,,0
2004-10-08,,,,,3.08,,,,,0
2004-10-11,,,,,3.08,,,,,0
2004-10-12,,,,,3.08,,,,,0
2004-10-13,,,,,3.08,,,,,0
2004-10-14,,,,,3.08,,,,,0
2004-10-15,,,,,3.08,,,,,0
2004-10-18,,,,,3.08,,,,,0
2004-10-19,,,,,3.08,,,,,0
2004-10-20,,,,,3.08,,,,,0
2004-10-21,,,,,3.08,,,,,0
2004-10-22,,,,,3.08,,,,,0
2004-10-25,,,,,3.08,,,,,0
2004-10-26,,,,,3.08,,,,,0
2004-10-27,,,,,3.08,,,,,0
2004-10-28,,,,,3.08,,,,,0
2004-10-29,,,,,3.08,,,,,0
2004-11-01,,,,,3.08,,,,,0
2004-11-02,,,,,3.08,,,,,0
2004-11-03,,,,,3.08,,,,,0
2004-11-04,,,,,3.08,,,,,0
2004-11-05,,,,,3.08,,,,,0
2004-11-08,,,,,3.08,,,,,0
2004-11-09,,,,,3.08,,,,,0
2004-11-10,,,,,3.08,,,,,0
2004-11-11,,,,,3.08,,,,,0
2004-11-12,,,,,3.08,,,,,0
2004-11-15,,,,,3.08,,,,,0
2004-11-16,,,,,3.08,,,,,0
2004-11-17,,,,,3.08,,,,,0
2004-11-18,,,,,3.08,,,,,0
2004-11-19,,,,,3.08,,,,,0
2004-11-22,,,,,3.08,,,,,0
2004-11-23,,,,,3.08,,,,,0
2004-11-24,,,,,3.08,,,,,0
2004-11-25,,,,,3.08,,,,,0
2004-11-26,,,,,3.08,,,,,0
2004-11-29,,,,,3.08,,,,,0
2004-11-30,,,,,3.08,,,,,0
2004-12-01,,,,,6.73,,,,,0
2004-12-02,,,,,6.73,,,,,0
2004-12-03,,,,,6.73,,,,,0
2004-12-06,,,,,6.73,,,,,0
2004-12-07,,,,,6.73,,,,,0
2004-12-08,,,,,6.73,,,,,0
2004-12-09,,,,,6.73,,,,,0
2004-12-10,,,,,6.73,,,,,0
2004-12-13,,,,,6.73,,,,,0
2004-12-14,,,,,6.73,,,,,0
2004-12-15,,,,,6.73,,,,,0
2004-12-16,,,,,6.73,,,,,0
2004-12-17,,,,,6.73,,,,,0
2004-12-20,,,,,6.73,,,,,0
2004-12-21,,,,,6.73,,,,,0
