Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,3.31,,,,,0
2004-09-02,,,,,3.31,,,,,0
2004-09-03,,,,,3.31,,,,,0
2004-09-06,,,,,3.31,,,,,0
2004-09-07,,,,,3.31,,,,,0
2004-09-08,,,,,3.31,,,,,0
2004-09-09,,,,,3.31,,,,,0
2004-09-10,,,,,3.31,,,,,0
2004-09-13,,,,,3.31,,,,,0
2004-09-14,,,,,3.31,,,,,0
2004-09-15,,,,,3.31,,,,,0
2004-09-16,,,,,3.31,,,,,0
2004-09-17,,,,,3.31,,,,,0
2004-09-20,,,,,3.31,,,,,0
2004-09-21,,,,,3.31,,,,,0
2004-09-22,,,,,3.31,,,,,0
2004-09-23,,,,,3.31,,,,,0
2004-09-24,,,,,3.31,,,,,0
2004-09-27,,,,,3.31,,,,,0
2004-09-28,,,,,3.31,,,,,0
2004-09-29,,,,,3.31,,,,,0
2004-09-30,,,,,3.31,,,,,0
2004-10-01,,,,,3.31,,,,,0
2004-10-04,,,,,3.31,,,,,0
2004-10-05,,,,,3.31,,,,,0
2004-10-06,,,,,3.31,,,,,0
2004-10-07,,,,,3.31,,,,,0
2004-10-08,,,,,3.31,,,,,0
2004-10-11,,,,,3.31,,,,,0
2004-10-12,,,,,3.31,,,,,0
2004-10-13,,,,,3.31,,,,,0
2004-10-14,,,,,3.31,,,,,0
2004-10-15,,,,,3.31,,,,,0
2004-10-18,,,,,3.31,,,,,0
2004-10-19,,,,,3.31,,,,,0
2004-10-20,,,,,3.31,,,,,0
2004-10-21,,,,,3.31,,,,,0
2004-10-22,,,,,3.31,,,,,0
2004-10-25,,,,,3.31,,,,,0
2004-10-26,,,,,3.31,,,,,0
2004-10-27,,,,,3.31,,,,,0
2004-10-28,,,,,3.31,,,,,0
2004-10-29,,,,,3.31,,,,,0
2004-11-01,,,,,3.31,,,,,0
2004-11-02,,,,,3.31,,,,,0
2004-11-03,,,,,3.31,,,,,0
2004-11-04,,,,,3.31,,,,,0
2004-11-05,,,,,3.31,,,,,0
2004-11-08,,,,,3.31,,,,,0
2004-11-09,,,,,3.31,,,,,0
2004-11-10,,,,,3.31,,,,,0
2004-11-11,,,,,3.31,,,,,0
2004-11-12,,,,,3.31,,,,,0
2004-11-15,,,,,3.31,,,,,0
2004-11-16,,,,,3.31,,,,,0
2004-11-17,,,,,3.31,,,,,0
2004-11-18,,,,,3.31,,,,,0
2004-11-19,,,,,3.31,,,,,0
2004-11-22,,,,,3.31,,,,,0
2004-11-23,,,,,3.31,,,,,0
2004-11-24,,,,,3.31,,,,,0
2004-11-25,,,,,3.31,,,,,0
2004-11-26,,,,,3.31,,,,,0
2004-11-29,,,,,3.31,,,,,0
2004-11-30,,,,,3.31,,,,,0
2004-12-01,,,,,7.17,,,,,0
2004-12-02,,,,,7.17,,,,,0
2004-12-03,,,,,7.17,,,,,0
2004-12-06,,,,,7.17,,,,,0
2004-12-07,,,,,7.17,,,,,0
2004-12-08,,,,,7.17,,,,,0
2004-12-09,,,,,7.17,,,,,0
2004-12-10,,,,,7.17,,,,,0
2004-12-13,,,,,7.17,,,,,0
2004-12-14,,,,,7.17,,,,,0
2004-12-15,,,,,7.17,,,,,0
2004-12-16,,,,,7.17,,,,,0
2004-12-17,,,,,7.17,,,,,0
2004-12-20,,,,,7.17,,,,,0
2004-12-21,,,,,7.17,,,,,0
2004-12-22,,,,,7.17,,,,,0
2004-12-23,,,,,7.17,,,,,0
2004-12-24,,,,,7.17,,,,,0
2004-12-27,,,,,7.17,,,,,0
2004-12-28,,,,,7.17,,,,,0
2004-12-29,,,,,7.17,,,,,0
